Region,Isocode
 Southeast Asia,AFG
 Eastern Europe,ALB
 Africa,DZA
 Southeast Asia,ASM
 Western Europe,AND
 Africa,AGO
 Latin America,AIA
 Latin America,ATG
 Latin America,ARG
 Former Soviet Union,ARM
 Latin America,ABW
 Australia_NZ,AUS
 Western Europe,AUT
 Former Soviet Union,AZE
 Latin America,BHS
 Middle East,BHR
 Southeast Asia,BGD
 Latin America,BRB
 Former Soviet Union,BLR
 Western Europe,BEL
 Western Europe,LUX
 Latin America,BLZ
 Africa,BEN
 Western Europe,BMU
 Southeast Asia,BTN
 Latin America,BOL
 Eastern Europe,BIH
 Africa,BWA
 Latin America,BRA
 Latin America,VGB
 Southeast Asia,BRN
 Eastern Europe,BGR
 Africa,BFA
 Africa,BDI
 China,KHM
 Africa,CMR
 Canada,CAN
 Africa,CPV
 Latin America,CYM
 Africa,CAF
 Africa,TCD
 Latin America,CHL
 China,CHN
 China,HKG
 China,MAC
 Australia_NZ,CXR
 Australia_NZ,CCK
 Latin America,COL
 Africa,COM
 Africa,COG
 Africa,COD
 Australia_NZ,COK
 Latin America,CRI
 Africa,CIV
 Eastern Europe,HRV
 Latin America,CUB
 Western Europe,CYP
 Eastern Europe,CZE
 Eastern Europe,SVK
 China,KOR
 Western Europe,DNK
 Africa,DJI
 Latin America,DMA
 Latin America,DOM
 Latin America,ECU
 Africa,EGY
 Latin America,SLV
 Africa,GNQ
 Africa,ERI
 Former Soviet Union,EST
 Africa,ETH
 Latin America,FLK
 Western Europe,FRO
 Southeast Asia,FJI
 Western Europe,FIN
 Western Europe,FRA
 Latin America,GUF
 Southeast Asia,PYF
 Africa,GAB
 Africa,GMB
 Former Soviet Union,GEO
 Western Europe,DEU
 Africa,GHA
 Western Europe,GIB
 Western Europe,GRC
 Western Europe,GRL
 Latin America,GRD
 Latin America,GLP
 Southeast Asia,GUM
 Latin America,GTM
 Africa,GIN
 Africa,GNB
 Latin America,GUY
 Latin America,HTI
 Latin America,HND
 Eastern Europe,HUN
 Western Europe,ISL
 India,IND
 Southeast Asia,IDN
 Middle East,IRN
 Middle East,IRQ
 Western Europe,IRL
 Middle East,ISR
 Western Europe,ITA
 Latin America,JAM
 Japan,JPN
 Middle East,JOR
 Former Soviet Union,KAZ
 Africa,KEN
 Southeast Asia,KIR
 Middle East,KWT
 Former Soviet Union,KGZ
 Southeast Asia,LAO
 Former Soviet Union,LVA
 Middle East,LBN
 Africa,LSO
 Africa,LBR
 Africa,LBY
 Western Europe,LIE
 Former Soviet Union,LTU
 Eastern Europe,MKD
 Africa,MDG
 Africa,MWI
 Southeast Asia,MYS
 Southeast Asia,MDV
 Africa,MLI
 Western Europe,MLT
 Southeast Asia,MHL
 Western Europe,MTQ
 Africa,MRT
 Africa,MUS
 Latin America,MEX
 Southeast Asia,FSM
 Former Soviet Union,MDA
 China,MNG
 Eastern Europe,MNE
 Latin America,MSR
 Africa,MAR
 Africa,MOZ
 Southeast Asia,MMR
 Africa,NAM
 Southeast Asia,NRU
 Southeast Asia,NPL
 Western Europe,NLD
 Latin America,ANT
 Southeast Asia,NCL
 Australia_NZ,NZL
 Latin America,NIC
 Africa,NER
 Africa,NGA
 Australia_NZ,NIU
 Southeast Asia,NFK
 Western Europe,NOR
 Middle East,PSE
 Middle East,OMN
 Southeast Asia,PAK
 Southeast Asia,PLW
 Latin America,PAN
 Southeast Asia,PNG
 Latin America,PRY
 Latin America,PER
 Southeast Asia,PHL
 Eastern Europe,POL
 Western Europe,PRT
 USA,PRI
 Middle East,QAT
 Korea,KOR
 Africa,REU
 Eastern Europe,ROU
 Former Soviet Union,RUS
 Africa,RWA
 Africa,SHN
 Latin America,KNA
 Latin America,LCA
 Canada,SPM
 Latin America,VCT
 Southeast Asia,WSM
 Africa,STP
 Middle East,SAU
 Africa,SEN
 Eastern Europe,SRB
 Africa,SYC
 Africa,SLE
 Southeast Asia,SGP
 Eastern Europe,SVN
 Southeast Asia,SLB
 Africa,SOM
 Africa,ZAF
 Western Europe,ESP
 Southeast Asia,LKA
 Africa,SDN
 Latin America,SUR
 Africa,SWZ
 Western Europe,SWE
 Western Europe,CHE
 Middle East,SYR
 Former Soviet Union,TJK
 Southeast Asia,THA
 Southeast Asia,TLS
 Africa,TGO
 Southeast Asia,TON
 Latin America,TTO
 Africa,TUN
 Western Europe,TUR
 Former Soviet Union,TKM
 Latin America,TCA
 Southeast Asia,TUV
 Africa,UGA
 Former Soviet Union,UKR
 Middle East,ARE
 Western Europe,GBR
 Africa,TZA
 USA,USA
 Latin America,URY
 Latin America,VIR
 Former Soviet Union,UZB
 Southeast Asia,VUT
 Latin America,VEN
 China,VNM
 Australia_NZ,WLF
 Middle East,YEM
 Africa,ZMB
 Africa,ZWE
